Bud Light,Tito's,Bacardi,BMI,Perry's,IHG,T-Mobile
,"Sales: Size=Small, Genre=Indie","Shallou: Size=Small, Genre=Edm",,"Girl in Red: Size=Small, Genre=Pop","EarthGang: Size=Small, Genre=Rap",
,,,"Men I Trust: Size=Small, Genre=Indie",,,"Mick Jenkins: Size=Small, Genre=Rap"
,"21 Savage: Size=Medium, Genre=Rap","Omar Apollo: Size=Medium, Genre=Pop",,"The 1975: Size=Medium, Genre=Indie","Illenium: Size=Medium, Genre=Edm",
"Ruel: Size=Small, Genre=Pop",,,"Omar Apollo: Size=Medium, Genre=Pop",,,
,"Omar Apollo: Size=Medium, Genre=Pop","Mura Masa: Size=Small, Genre=Edm",,"Fisher: Size=Medium, Genre=Edm",,"Marshmello: Size=Medium, Genre=Edm"
"Eminem: Size=Large, Genre=Rap",,,"Tiësto: Size=Large, Genre=Edm",,"Homescool: Size=Small, Genre=Indie",
,"Omar Apollo: Size=Medium, Genre=Pop","EarthGang: Size=Small, Genre=Rap",,"Tame Impala: Size=Large, Genre=Indie",,"Post Malone: Size=Medium, Genre=Rap"
"Conan Gray: Size=Medium, Genre=Pop",,,"Courtney Barnett: Size=Small, Genre=Indie",,"Denzel Curry: Size=Small, Genre=Rap",
,"Snail Mail: Size=Medium, Genre=Indie","Phoebe Bridgers: Size=Medium, Genre=Indie",,,,"Taylor Swift: Size=Large, Genre=Pop"
"Snail Mail: Size=Medium, Genre=Indie",,,"Tiësto: Size=Large, Genre=Edm",,"Kygo: Size=Medium, Genre=Edm",
,"Bruno Mars: Size=Large, Genre=Pop","David Guetta: Size=Large, Genre=Edm",,"Ed Sheeran: Size=Large, Genre=Pop",,"Skrillex: Size=Large, Genre=Edm"
